,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,combined_cols
929,Match Point,"Drama, Romance, Thriller","At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,match point drama romance thriller turning point life former tennis pro falls actress happens dating friend soon brother law woody allen scarlett johansson jonathan rhys meyers emily mortimer matthew goode
930,Watchmen,"Action, Drama, Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Zack Snyder,Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,watchmen action drama mystery 1985 former superheroes exist murder colleague sends active vigilante rorschach sprawling investigation uncovering something could completely change course history know zack snyder jackie earle haley patrick wilson carla gugino malin akerman
931,Lord of War,"Action, Crime, Drama",An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Andrew Niccol,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,lord war action crime drama arms dealer confronts morality work chased interpol agent andrew niccol nicolas cage ethan hawke jared leto bridget moynahan
932,Saw,"Horror, Mystery, Thriller","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",James Wan,Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,saw horror mystery thriller two strangers awaken room recollection got soon discover pawns deadly game perpetrated notorious serial killer james wan cary elwes leigh whannell danny glover ken leung
933,"Synecdoche, New York",Drama,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Charlie Kaufman,Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,synecdoche new york drama theatre director struggles work women life creates life size replica new york city inside warehouse part new play charlie kaufman philip seymour hoffman samantha morton michelle williams catherine keener
934,Mysterious Skin,Drama,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Gregg Araki,Brady Corbet,Joseph Gordon-Levitt,Elisabeth Shue,Chase Ellison,mysterious skin drama teenage hustler young man obsessed alien abductions cross paths together discovering horrible liberating truth gregg araki brady corbet joseph gordon levitt elisabeth shue chase ellison
935,Jeux d'enfants,"Comedy, Drama, Romance","As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Yann Samuell,Guillaume Canet,Marion Cotillard,Thibault Verhaeghe,Joséphine Lebas-Joly,jeux enfants comedy drama romance adults best friends julien sophie continue odd game started children fearless competition outdo one another daring outrageous stunts often act relieve one another pain game might way avoid fact truly meant one another yann samuell guillaume canet marion cotillard thibault verhaeghe jos phine lebas joly
936,Un long dimanche de fiançailles,"Drama, Mystery, Romance","Tells the story of a young woman's relentless search for her fiancé, who has disappeared from the trenches of the Somme during World War One.",Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Jodie Foster,Dominique Pinon,un long dimanche de fian ailles drama mystery romance tells story young woman relentless search fianc disappeared trenches somme world war one jean pierre jeunet audrey tautou gaspard ulliel jodie foster dominique pinon
937,The Station Agent,"Comedy, Drama","When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",Tom McCarthy,Peter Dinklage,Patricia Clarkson,Bobby Cannavale,Paul Benjamin,station agent comedy drama friend dies man born dwarfism moves rural new jersey live life solitude meet chatty hot dog vendor woman dealing personal loss tom mccarthy peter dinklage patricia clarkson bobby cannavale paul benjamin
938,21 Grams,"Crime, Drama, Thriller","A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con.",Alejandro G. Iñárritu,Sean Penn,Benicio Del Toro,Naomi Watts,Danny Huston,21 grams crime drama thriller freak accident brings together critically ill mathematician grieving mother born ex con alejandro g rritu sean penn benicio del toro naomi watts danny huston
939,Boksuneun naui geot,"Crime, Drama, Thriller","A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",Chan-wook Park,Kang-ho Song,Shin Ha-kyun,Bae Doona,Ji-Eun Lim,boksuneun naui geot crime drama thriller recently laid factory worker kidnaps former boss friend daughter hoping use ransom money pay sister kidney transplant chan wook park kang ho song shin ha kyun bae doona ji eun lim
940,Finding Neverland,"Biography, Drama, Family",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Marc Forster,Johnny Depp,Kate Winslet,Julie Christie,Radha Mitchell,finding neverland biography drama family story sir j barrie friendship family inspired create peter pan marc forster johnny depp kate winslet julie christie radha mitchell
941,25th Hour,Drama,"Cornered by the DEA, convicted New York drug dealer Montgomery Brogan reevaluates his life in the 24 remaining hours before facing a seven-year jail term.",Spike Lee,Edward Norton,Barry Pepper,Philip Seymour Hoffman,Rosario Dawson,25th hour drama cornered dea convicted new york drug dealer montgomery brogan reevaluates life 24 remaining hours facing seven year jail term spike lee edward norton barry pepper philip seymour hoffman rosario dawson
942,The Butterfly Effect,"Drama, Sci-Fi, Thriller","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Eric Bress,J. Mackye Gruber,Ashton Kutcher,Amy Smart,Melora Walters,butterfly effect drama sci fi thriller evan treborn suffers blackouts significant events life grows finds way remember lost memories supernatural way alter life reading journal eric bress j mackye gruber ashton kutcher amy smart melora walters
943,28 Days Later...,"Drama, Horror, Sci-Fi","Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary.",Danny Boyle,Cillian Murphy,Naomie Harris,Christopher Eccleston,Alex Palmer,28 days later drama horror sci fi four weeks mysterious incurable virus spreads throughout uk handful survivors try find sanctuary danny boyle cillian murphy naomie harris christopher eccleston alex palmer
944,Batoru rowaiaru,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act.",Kinji Fukasaku,Tatsuya Fujiwara,Aki Maeda,Tarô Yamamoto,Takeshi Kitano,batoru rowaiaru action adventure drama future japanese government captures class ninth grade students forces kill revolutionary battle royale act kinji fukasaku tatsuya fujiwara aki maeda tar yamamoto takeshi kitano
945,The Royal Tenenbaums,"Comedy, Drama",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,Wes Anderson,Gene Hackman,Gwyneth Paltrow,Anjelica Huston,Ben Stiller,royal tenenbaums comedy drama eccentric members dysfunctional family reluctantly gather roof various reasons wes anderson gene hackman gwyneth paltrow anjelica huston ben stiller
946,Y tu mamá también,Drama,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",Alfonso Cuarón,Maribel Verdú,Gael García Bernal,Daniel Giménez Cacho,Ana López Mercado,tu mam tambi n drama mexico two teenage boys attractive older woman embark road trip learn thing two life friendship sex alfonso cuar n maribel verd gael garc bernal daniel gim nez cacho ana l pez mercado
947,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",Chris Columbus,Daniel Radcliffe,Rupert Grint,Richard Harris,Maggie Smith,harry potter sorcerer stone adventure family fantasy orphaned boy enrolls school wizardry learns truth family terrible evil haunts magical world chris columbus daniel radcliffe rupert grint richard harris maggie smith
948,The Others,"Horror, Mystery, Thriller",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,Alejandro Amenábar,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alakina Mann,others horror mystery thriller woman lives darkened old family house two photosensitive children becomes convinced home haunted alejandro amen bar nicole kidman christopher eccleston fionnula flanagan alakina mann
949,Blow,"Biography, Crime, Drama","The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",Ted Demme,Johnny Depp,Penélope Cruz,Franka Potente,Rachel Griffiths,blow biography crime drama story george jung along medell n cartel headed pablo escobar established american cocaine market 1970s united states ted demme johnny depp pen lope cruz franka potente rachel griffiths
